pos,corr_resp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial_2.started,fixxation.started,line_1.started,line_2.started,line_3.started,line_4.started,fixxation.stopped,probe.started,key_resp.started,trial_2.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
-50,x,0,0,0,0,,,,,0.046369199990294874,,0.023546900018118322,0.046369199990294874,1.0307609000010416,1.0307609000010416,1.0307609000010416,1.0307609000010416,1.0512223000405356,2.0155305999796838,2.0155305999796838,146.9673314000247,x,1,144.92687630001456,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,0,1,1,1,,,,,146.9877500999719,,146.9701914000325,146.9877500999719,147.97294520004652,147.97294520004652,147.97294520004652,147.97294520004652,147.98925470001996,148.9731895000441,148.9731895000441,149.90987590001896,v,1,0.9203528000507504,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,0,2,2,2,,,,,149.92288800003007,,149.91062800004147,149.92288800003007,150.92383780004457,150.92383780004457,150.92383780004457,150.92383780004457,150.92383780004457,151.92467850004323,151.92467850004323,152.56110300007276,c,1,0.6241502999328077,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,0,3,3,3,,,,,152.57426420005504,,152.56188489997294,152.57426420005504,153.57500179996714,153.57500179996714,153.57500179996714,153.57500179996714,153.57500179996714,154.57537770003546,154.57537770003546,155.14542089996394,z,1,0.5664850999601185,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,1,0,4,0,,,,,155.15865960007068,,155.14683820004575,155.15865960007068,156.1591255000094,156.1591255000094,156.1591255000094,156.1591255000094,156.1591255000094,157.15947700000834,157.15947700000834,157.71243209997192,x,1,0.5375568000599742,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,1,1,5,1,,,,,157.7270320999669,,157.7131389999995,157.7270320999669,158.727360400022,158.727360400022,158.727360400022,158.727360400022,158.727360400022,159.7272780999774,159.7272780999774,160.16412810003385,v,1,0.43468820000998676,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
50,c,1,2,6,2,,,,,160.17738130001817,,160.1648188000545,160.17738130001817,161.17832589999307,161.17832589999307,161.17832589999307,161.17832589999307,161.17832589999307,162.17817820003256,162.17817820003256,162.7157989999978,c,1,0.5351721999468282,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-150,z,1,3,7,3,,,,,162.7282052000519,,162.71652670006733,162.7282052000519,163.72874599997886,163.72874599997886,163.72874599997886,163.72874599997886,163.72874599997886,164.72888010006864,164.72888010006864,165.26681559998542,z,1,0.5263283000094816,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
-50,x,2,0,8,0,,,,,165.27928750007413,,165.26753940002527,165.27928750007413,166.2794710000744,166.2794710000744,166.2794710000744,166.2794710000744,166.2794710000744,167.27968300005887,167.27968300005887,167.73457149998285,x,1,0.43951130006462336,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
150,v,2,1,9,1,,,,,167.74656640004832,,167.7353421000298,167.74656640004832,168.74835070001427,168.74835070001427,168.74835070001427,168.74835070001427,168.74835070001427,169.7480171000352,169.7480171000352,170.28487029997632,v,1,0.5292234000517055,None,tots,001,2024-10-17_14h35.01.876,Motor_sequence_task,2024.1.5,None,2024-10-17 14h35.17.260868 +0530,
